Time(GMT),Topic,CMD,Frame ID,확장 Frame ID,Data,DIAG_DATA,MON_DATA,WIFI_DATA,Raw Data
01:59:24,lime/devices,completeProvisioning,0xt ,,,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750816764058,""cmd"":""completeProvisioning"",""type"":0,""data"":{""result"":0,""host"":""message"",""appInfo"":{""host"":""message"",""publication"":{""message"":""clip/message/devices/a37da83a-b7dd-1af0-a778-34e6e696b22c"",""provisioning"":""clip/provisioning/devices/a37da83a-b7dd-1af0-a778-34e6e696b22c""}},""provisioningType"":""deploy""}}"
01:59:24,lime/devices,packet,0x29,,AA07F029019EBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750816764059,""cmd"":""packet"",""type"":1,""data"":""AA07F029019EBB""}"
01:59:24,lime/devices,packet,0xCE,,AA2EF0CE01000000010001040005000CFEFF010000FFFFFFFFFFFFFFFFFFFFFFFFFFFF00004E308702932E0033BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750816764060,""cmd"":""packet"",""type"":1,""data"":""AA2EF0CE01000000010001040005000CFEFF010000FFFFFFFFFFFFFFFFFFFFFFFFFFFF00004E308702932E0033BB""}"
01:59:24,lime/devices,packet,0x28,,AA06F0289DBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750816764102,""cmd"":""packet"",""type"":1,""data"":""AA06F0289DBB""}"
01:59:24,lime/devices,modem_cmd_ext,0xt ,,,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750816764059,""cmd"":""modem_cmd_ext"",""type"":0,""data"":{""subcmd"":""cctld"",""type"":4,""jira"":""SMTCO-3489""}}"
01:59:24,clip/message/devices,completeProvisioning_ack,,,,,,,"{""mid"":1822588,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""completeProvisioning_ack"",""rssi"":-55,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":null,""type"":1}"
01:59:25,lime/devices,packet,0xED,,AA12F0ED1121010000001804111200005EBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750816764944,""cmd"":""packet"",""type"":1,""data"":""AA12F0ED1121010000001804111200005EBB""}"
01:59:25,clip/message/devices,device_packet,0xD8,,AA0733D800E9BB,,,,"{""mid"":1822605,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""device_packet"",""rssi"":-55,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":""AA0733D800E9BB"",""type"":1}"
01:59:25,lime/devices,ack,0x00,,AA08F000D8042BBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750816765188,""cmd"":""ack"",""type"":1,""data"":""AA08F000D8042BBB""}"
01:59:25,clip/message/devices,device_packet,0x0A,0x00EB,AAFF330A005800034C000100EB00460A00000E0F4E00000000000000000A000B000000000E249007000000000400000000000000100000240000000000000400004000000000000000F000640004080000000000002C0CBB,,,,"{""mid"":1823518,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""device_packet"",""rssi"":-53,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":""AAFF330A005800034C000100EB00460A00000E0F4E00000000000000000A000B000000000E249007000000000400000000000000100000240000000000000400004000000000000000F000640004080000000000002C0CBB"",""type"":1}"
01:59:25,lime/devices,ack,0x00,,AA0AF0000A04034C54BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750816765863,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A04034C54BB""}"
