Time(GMT),Topic,CMD,Frame ID,확장 Frame ID,Data,DIAG_DATA,MON_DATA,WIFI_DATA,Raw Data
09:38:10,lime/devices,ack,0x00,,AA0AF0000A04002A89BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844290880,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A04002A89BB""}"
09:38:48,lime/devices,ack,0x00,,AA08F0003E04B1BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844328679,""cmd"":""ack"",""type"":1,""data"":""AA08F0003E04B1BB""}"
09:39:10,lime/devices,ack,0x00,,AA0AF0000A040038BFBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844350673,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A040038BFBB""}"
09:39:13,lime/devices,ack,0x00,,AA0AF0000A04003AB9BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844353533,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A04003AB9BB""}"
09:39:19,lime/devices,ack,0x00,,AA0AF0000A04003CBBBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844359834,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A04003CBBBB""}"
09:39:20,lime/devices,ack,0x00,,AA0AF0000A04003DBABB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844360856,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A04003DBABB""}"
09:39:25,lime/devices,ack,0x00,,AA0AF0000A04003FA4BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844365765,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A04003FA4BB""}"
09:39:26,lime/devices,ack,0x00,,AA0AF0000A040040A7BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844366913,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A040040A7BB""}"
09:39:30,lime/devices,ack,0x00,,AA0AF0000A040042A1BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844369998,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A040042A1BB""}"
09:39:33,lime/devices,ack,0x00,,AA0AF0000A040045A2BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844373461,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A040045A2BB""}"
09:39:35,lime/devices,ack,0x00,,AA0AF0000A040046ADBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844375443,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A040046ADBB""}"
09:39:38,lime/devices,ack,0x00,,AA0AF0000A040048AFBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844378211,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A040048AFBB""}"
09:39:48,lime/devices,ack,0x00,,AA08F0003E04B1BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844388328,""cmd"":""ack"",""type"":1,""data"":""AA08F0003E04B1BB""}"
09:40:14,lime/devices,ack,0x00,,AA0AF0000A04005156BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844414291,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A04005156BB""}"
09:40:14,lime/devices,ack,0x00,,AA0AF0000A04005251BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844414861,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A04005251BB""}"
09:40:15,lime/devices,ack,0x00,,AA0AF0000A04005350BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844415437,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A04005350BB""}"
09:40:48,lime/devices,ack,0x00,,AA08F0003E04B1BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844448113,""cmd"":""ack"",""type"":1,""data"":""AA08F0003E04B1BB""}"
09:41:15,lime/devices,ack,0x00,,AA0AF0000A04006340BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844475217,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A04006340BB""}"
09:41:36,lime/devices,ack,0x00,,AA0AF0000A0400694EBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844496407,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A0400694EBB""}"
09:41:48,lime/devices,ack,0x00,,AA08F0003E04B1BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844508067,""cmd"":""ack"",""type"":1,""data"":""AA08F0003E04B1BB""}"
09:42:15,lime/devices,ack,0x00,,AA0AF0000A0400767DBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750844535001,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A0400767DBB""}"
