Time(GMT),Topic,CMD,Frame ID,확장 Frame ID,Data,DIAG_DATA,MON_DATA,WIFI_DATA,Raw Data
05:01:24,clip/message/devices,device_packet,0x0A,0x0103,AAFF330A005000026A000201030015150A020B1503380026018C012F005C00BB005A00D60105002546414B50553233303136000000000000000000000102CEDC62790807000000000000000000A0D8BB,,,,"{""mid"":533623,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""device_packet"",""rssi"":-50,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":""AAFF330A005000026A000201030015150A020B1503380026018C012F005C00BB005A00D60105002546414B50553233303136000000000000000000000102CEDC62790807000000000000000000A0D8BB"",""type"":1}"
05:01:24,lime/devices,ack,0x00,,AA0AF0000A04026A4BBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750827684316,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A04026A4BBB""}"
05:01:25,clip/message/devices,device_packet,0x0A,0x0103,AAFF330A005000026B000201030015160A020B1603380027000E0145004F007C003000F10105002546414B50553233303136000000000000000000000102CEDC62790807000000000000000000B8C8BB,,,,"{""mid"":534636,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""device_packet"",""rssi"":-50,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":""AAFF330A005000026B000201030015160A020B1603380027000E0145004F007C003000F10105002546414B50553233303136000000000000000000000102CEDC62790807000000000000000000B8C8BB"",""type"":1}"
05:01:25,lime/devices,ack,0x00,,AA0AF0000A04026B4ABB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750827685336,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A04026B4ABB""}"
05:01:27,clip/provisioning/devices,undeploy,,,,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""undeploy""}"
05:02:01,clip/provisioning/devices,deploy,0xt ,,,,,,"{""mid"":570527,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""deploy"",""rssi"":-51,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":{""appInfo"":{""rollbackInfo"":{""area_b"":""clip_ble_v1.9.215"",""active"":""area_b"",""area_a"":""clip_ble_v1.9.212""},""modelName"":""FAKPU23016"",""modelLanguage"":""02"",""softVer"":""2.11.315"",""ruleVer"":""2.11.315"",""countryCode"":""US"",""subCountryCode"":""US"",""appVersion"":""clip_ble_v1.9.215"",""modemType"":""RTK_RTL8720cm"",""regionalCode"":""aic-qa"",""timezone"":""-0400"",""svcCode"":""SVC202"",""HomeApSsid"":"""",""DeviceType"":""221"",""ruleEngine"":""y"",""protocolVer"":""6"",""oneshot"":""y"",""size"":2097152,""fwUpgradeInfo"":{""upgSched"":{""cmd"":""none"",""upgUtc"":""0""}},""modemConfig"":{""online_check"":""y"",""device_status"":""y""},""schedFota"":""y"",""prodParam"":""01C80155530000"",""packageId"":""24465720144657101|1""},""platformInfo"":{""provisioningKey"":""FAKPU23016"",""version"":""clip_v2.00.15.05-SDK-8-RELEASE""},""extraProfile"":{""resetDetails"":{""reason"":""POWER_ON"",""cnt"":2},""profiling"":[{""st"":14,""n"":""PREF_wlan_connect_thread"",""s"":3714,""e"":5396,""d"":1682,""c"":2},{""st"":15,""n"":""PREF_wlan_connect_thread_N"",""s"":3914,""e"":5396,""d"":1482,""c"":2},{""st"":16,""n"":""PERF_association"",""s"":5393,""e"":5520,""d"":127,""c"":2},{""st"":17,""n"":""PERF_4wayhs"",""s"":5520,""e"":5542,""d"":22,""c"":2},{""st"":18,""n"":""PERF_dhcp"",""s"":5544,""e"":6053,""d"":509,""c"":1},{""st"":23,""n"":""PERF_req_server_addr_nS_N"",""s"":10700,""e"":13657,""d"":2957,""c"":1},{""st"":24,""n"":""PERF_req_server_addr_save"",""s"":13657,""e"":13657,""d"":0,""c"":1},{""st"":25,""n"":""PERF_route"",""s"":567742,""e"":567743,""d"":1,""c"":2},{""st"":27,""n"":""PERF_csr"",""s"":567743,""e"":567754,""d"":11,""c"":2},{""st"":30,""n"":""PERF_mqtt"",""s"":567739,""e"":570516,""d"":2777,""c"":2},{""st"":31,""n"":""PERF_cloudlet"",""s"":9308,""e"":10545,""d"":1237,""c"":1},{""st"":33,""n"":""PERF_provisioning"",""s"":570517,""e"":9313,""d"":15,""c"":2},{""st"":38,""n"":""PERF_first_mon"",""s"":12123,""e"":12123,""d"":0,""c"":1}],""routerCnt"":1,""mqttCnt"":1,""bootId"":""10301849382156407505"",""cctld"":"""",""cctld_result"":-79,""api-server"":""https://aic-qa-common.lgthinq.com:443"",""mqtt-server"":""ssl://common-qa.iot.aic.lgthinq.com:8883"",""bleprog"":[{""st"":1,""n"":""BLE_INIT"",""s"":691,""e"":0,""d"":0,""c"":1}]}},""type"":0}"
05:02:02,lime/devices,completeProvisioning,0xt ,,,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750827722134,""cmd"":""completeProvisioning"",""type"":0,""data"":{""result"":0,""host"":""message"",""appInfo"":{""host"":""message"",""publication"":{""message"":""clip/message/devices/a37da83a-b7dd-1af0-a778-34e6e696b22c"",""provisioning"":""clip/provisioning/devices/a37da83a-b7dd-1af0-a778-34e6e696b22c""}},""provisioningType"":""deploy""}}"
05:02:02,lime/devices,packet,0x29,,AA07F029019EBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750827722135,""cmd"":""packet"",""type"":1,""data"":""AA07F029019EBB""}"
05:02:02,lime/devices,packet,0xCE,,AA2EF0CE01000000010001040005000CFEFF010000FFFFFFFFFFFFFFFFFFFFFFFFFFFF0001B6D3B002932E00CEBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750827722136,""cmd"":""packet"",""type"":1,""data"":""AA2EF0CE01000000010001040005000CFEFF010000FFFFFFFFFFFFFFFFFFFFFFFFFFFF0001B6D3B002932E00CEBB""}"
05:02:02,lime/devices,packet,0x28,,AA06F0289DBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750827722173,""cmd"":""packet"",""type"":1,""data"":""AA06F0289DBB""}"
