Time(GMT),Topic,CMD,Frame ID,확장 Frame ID,Data,DIAG_DATA,MON_DATA,WIFI_DATA,Raw Data
04:47:24,clip/message/devices,device_packet,0x0A,0x00EC,AAFF330A009E00018D000100EC008C0A00000E0F4E000000000000000004000B001000000E249007000000000400000000000000000000240000000000000400004000000000000000F000640004080000000000000A00000E0F4E000000000000000003000B001400000E249007000000000400000000000000000000240000000000000400004000000000000000F00064000408000000000000B935BB,,,,"{""mid"":1089506,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""device_packet"",""rssi"":-51,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":""AAFF330A009E00018D000100EC008C0A00000E0F4E000000000000000004000B001000000E249007000000000400000000000000000000240000000000000400004000000000000000F000640004080000000000000A00000E0F4E000000000000000003000B001400000E249007000000000400000000000000000000240000000000000400004000000000000000F00064000408000000000000B935BB"",""type"":1}"
04:47:24,lime/devices,ack,0x00,,AA0AF0000A04018D15BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750826844017,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A04018D15BB""}"
04:48:23,clip/message/devices,device_packet,0x0A,0x00EC,AAFF330A009E00019E000100EC008C0A00000E0F4E000000000000000003000B001400000E249007000000000400000000000000000000240000000000000400004000000000000000F000640004080000000000000A00000E0F4E000000000000000002000B001900000E249007000000000400000000000000000000240000000000000400004000000000000000F00064000408000000000000DB28BB,,,,"{""mid"":1149291,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""device_packet"",""rssi"":-55,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":""AAFF330A009E00019E000100EC008C0A00000E0F4E000000000000000003000B001400000E249007000000000400000000000000000000240000000000000400004000000000000000F000640004080000000000000A00000E0F4E000000000000000002000B001900000E249007000000000400000000000000000000240000000000000400004000000000000000F00064000408000000000000DB28BB"",""type"":1}"
04:48:23,lime/devices,ack,0x00,,AA0AF0000A04019E04BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750826903792,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A04019E04BB""}"
04:48:35,clip/message/devices,device_packet,0x0A,0x0102,AAFF330A00890001A100020102004E0A020B650337001D2800080002000B0000043538393B3D1F20202121FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000A4F0000001F00464000105002546414B50553233303136000000000000000000000102CDDC62790807000000000000000000B008BB,,,,"{""mid"":1161321,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""device_packet"",""rssi"":-51,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":""AAFF330A00890001A100020102004E0A020B650337001D2800080002000B0000043538393B3D1F20202121FFFFFFFFFF000000000000000000000000000000000000000000000000000000000000000000000000A4F0000001F00464000105002546414B50553233303136000000000000000000000102CDDC62790807000000000000000000B008BB"",""type"":1}"
04:48:35,lime/devices,ack,0x00,,AA0AF0000A0401A101BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750826915813,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A0401A101BB""}"
04:49:23,clip/message/devices,device_packet,0x0A,0x00EC,AAFF330A009E0001B0000100EC008C0A00000E0F4E000000000000000002000B001900000E249007000000000400000000000000000000240000000000000400004000000000000000F000640004080000000000000A00000E0F4E000000000000000001000B001D00000E249007000000000400000000000000000000240000000000000400004000000000000000F0006400040800000000000008D1BB,,,,"{""mid"":1209074,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""device_packet"",""rssi"":-50,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":""AAFF330A009E0001B0000100EC008C0A00000E0F4E000000000000000002000B001900000E249007000000000400000000000000000000240000000000000400004000000000000000F000640004080000000000000A00000E0F4E000000000000000001000B001D00000E249007000000000400000000000000000000240000000000000400004000000000000000F0006400040800000000000008D1BB"",""type"":1}"
04:49:23,lime/devices,ack,0x00,,AA0AF0000A0401B036BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750826963570,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A0401B036BB""}"
04:50:51,clip/message/devices,device_packet,0x0A,0x0103,AAFF330A007B0001C7000201030040080A020B080337001E28000A1400000000040000004290000064010058060002E9016302590000FFFF010014005500C0008D0088006E0004B004560101007B000105002546414B50553233303136000000000000000000000102CEDC627908070000000000000000004750BB,,,,"{""mid"":1296972,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""device_packet"",""rssi"":-50,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":""AAFF330A007B0001C7000201030040080A020B080337001E28000A1400000000040000004290000064010058060002E9016302590000FFFF010014005500C0008D0088006E0004B004560101007B000105002546414B50553233303136000000000000000000000102CEDC627908070000000000000000004750BB"",""type"":1}"
04:50:51,lime/devices,ack,0x00,,AA0AF0000A0401C72FBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750827051473,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A0401C72FBB""}"
04:50:52,clip/message/devices,device_packet,0x0A,0x0103,AAFF330A00B40001C80002010300790A0A020B0A0337001F28000A140000000004000000429000000103640000000000000000000000000000000000006401000064000000000000555500000F1000F500000000010000000100000001000000006F6F0002FF0000000000FFFF001D22FDFDFDFDFD8AEEFEFDFD3E10007000603F3F0800000000000105002546414B50553233303136000000000000000000000102CEDC62790807000000000000000000CFAFBB,,,,"{""mid"":1297577,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""device_packet"",""rssi"":-50,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":""AAFF330A00B40001C80002010300790A0A020B0A0337001F28000A140000000004000000429000000103640000000000000000000000000000000000006401000064000000000000555500000F1000F500000000010000000100000001000000006F6F0002FF0000000000FFFF001D22FDFDFDFDFD8AEEFEFDFD3E10007000603F3F0800000000000105002546414B50553233303136000000000000000000000102CEDC62790807000000000000000000CFAFBB"",""type"":1}"
04:50:52,lime/devices,ack,0x00,,AA0AF0000A0401C82EBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750827052090,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A0401C82EBB""}"
04:50:52,clip/message/devices,device_packet,0x72,,AA0933720000000DBB,,,,"{""mid"":1298088,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""device_packet"",""rssi"":-50,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":""AA0933720000000DBB"",""type"":1}"
04:50:52,lime/devices,ack,0x00,,AA08F00072044DBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750827052596,""cmd"":""ack"",""type"":1,""data"":""AA08F00072044DBB""}"
04:50:52,clip/message/devices,device_packet,0xE2,,AA4E33E203460A00000E0F4E00000000000000000B000B0021000024019007000000000400000000000000100000240000000000000400004000000000000000F00064000408000000000000CFBB,,,,"{""mid"":1298258,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""device_packet"",""rssi"":-50,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":""AA4E33E203460A00000E0F4E00000000000000000B000B0021000024019007000000000400000000000000100000240000000000000400004000000000000000F00064000408000000000000CFBB"",""type"":1}"
04:50:52,lime/devices,ack,0x00,,AA08F000E204DDBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750827052881,""cmd"":""ack"",""type"":1,""data"":""AA08F000E204DDBB""}"
04:50:53,clip/message/devices,device_packet,0x0A,0x0104,AAFF330A00570001CB00010104004503010100040506073900000000FF013E00000000FD1FFD00FDFDFD000001FD6F6F0000FDFD000000FD0000006F144D110100001400050000740000402B40CC60001A00180051F2BB,,,,"{""mid"":1298925,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""device_packet"",""rssi"":-50,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":""AAFF330A00570001CB00010104004503010100040506073900000000FF013E00000000FD1FFD00FDFDFD000001FD6F6F0000FDFD000000FD0000006F144D110100001400050000740000402B40CC60001A00180051F2BB"",""type"":1}"
04:50:53,lime/devices,ack,0x00,,AA0AF0000A0401CB2BBB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750827053434,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A0401CB2BBB""}"
04:50:53,clip/message/devices,device_packet,0x0A,0x00EC,AAFF330A009E0001CC000100EC008C0A00000E0F4E000000000000000001000B001D00000E249007000000000400000000000000000000240000000000000400004000000000000000F000640004080000000000000A00000E0000000000000000000001000000210000100E9000000000000400000000000000400000240000000000000400004000000000000000F00064000408000000000000CA51BB,,,,"{""mid"":1299431,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""device_packet"",""rssi"":-50,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":""AAFF330A009E0001CC000100EC008C0A00000E0F4E000000000000000001000B001D00000E249007000000000400000000000000000000240000000000000400004000000000000000F000640004080000000000000A00000E0000000000000000000001000000210000100E9000000000000400000000000000400000240000000000000400004000000000000000F00064000408000000000000CA51BB"",""type"":1}"
04:50:53,lime/devices,ack,0x00,,AA0AF0000A0401CC2ABB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750827053923,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A0401CC2ABB""}"
04:51:22,clip/message/devices,device_packet,0x0A,0x00EC,AAFF330A009E0001D3000100EC008C0A00000E0000000000000000000001000000210000100E9000000000000400000000000000400000240000000000000400004000000000000000F000640004080000000000000A00000E000000000000000000000100000021000000109000000000000400000000000000400000240000000000000400004000000000000000F00064000408000000000000A21EBB,,,,"{""mid"":1327644,""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""device_packet"",""rssi"":-51,""ble_rssi"":-100,""fs"":""idle"",""br"":4800,""per"":-1,""data"":""AAFF330A009E0001D3000100EC008C0A00000E0000000000000000000001000000210000100E9000000000000400000000000000400000240000000000000400004000000000000000F000640004080000000000000A00000E000000000000000000000100000021000000109000000000000400000000000000400000240000000000000400004000000000000000F00064000408000000000000A21EBB"",""type"":1}"
04:51:22,lime/devices,ack,0x00,,AA0AF0000A0401D3D3BB,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""mid"":1750827082145,""cmd"":""ack"",""type"":1,""data"":""AA0AF0000A0401D3D3BB""}"
04:52:39,clip/provisioning/devices,undeploy,,,,,,,"{""did"":""a37da83a-b7dd-1af0-a778-34e6e696b22c"",""kind"":""FAKPU23016"",""cmd"":""undeploy""}"
